year,vos_DET eaux_NOUN,vos_DET sauts_NOUN
1800,1.0375742931501009e-07,0.0
1801,1.2144030847593967e-07,0.0
1802,9.84649659585557e-08,0.0
1803,5.265916058760922e-08,0.0
1804,8.404293216912606e-08,0.0
1805,1.7625842474444653e-07,0.0
1806,5.76333825108577e-08,0.0
1807,1.1957211132340717e-07,2.8469551160981155e-09
1808,7.024829073998262e-08,0.0
1809,2.0783080856290326e-07,0.0
1810,1.193464669313471e-07,0.0
1811,4.262030373070047e-08,0.0
1812,9.868670147739067e-08,0.0
1813,8.627225156487839e-08,0.0
1814,2.8320094713762956e-08,3.1466771410748606e-09
1815,5.933891955578474e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,6.850242650902061e-08,0.0
1818,7.391129952516451e-08,0.0
1819,6.728182633253255e-08,0.0
1820,9.01852530432734e-08,0.0
1821,1.0354562363090736e-07,0.0
1822,3.5089655625597516e-08,1.0025615893027862e-09
1823,7.412015357033397e-08,0.0
1824,6.736890156844311e-08,8.421112696055388e-10
1825,1.1799293408998324e-07,0.0
1826,3.52319382557198e-08,0.0
1827,8.387718608560135e-08,0.0
1828,2.843413443587295e-08,0.0
1829,2.4862209901943544e-08,0.0
1830,5.322786122974321e-08,0.0
1831,7.016043013230444e-08,0.0
1832,5.953186388296672e-08,0.0
1833,6.950177233733257e-08,0.0
1834,6.254136053485126e-08,0.0
1835,7.487457054367042e-08,0.0
1836,4.234072398245914e-08,0.0
1837,4.0355768504696243e-08,0.0
1838,5.6178239615789494e-08,0.0
1839,4.334714465148437e-08,0.0
1840,4.840963396812725e-08,0.0
1841,5.778493594732481e-08,0.0
1842,3.5553803456878086e-08,0.0
1843,4.134837811031744e-08,0.0
1844,3.348022492577485e-08,1.097712254427563e-09
1845,2.8459162138005922e-08,0.0
1846,4.1566958541849885e-08,5.854501328173001e-10
1847,2.8044762956369595e-08,0.0
1848,2.654923214606697e-08,0.0
1849,2.262441967104678e-08,0.0
1850,4.1412874907109654e-08,3.394498016007219e-09
1851,4.5791015423901626e-08,0.0
1852,5.403752667554329e-08,0.0
1853,3.881755716861335e-08,0.0
1854,4.676097908884458e-08,1.0391328908454511e-09
1855,3.980202833986368e-08,2.1227748447927297e-09
1856,3.36517302912398e-08,2.5885946719483854e-09
1857,4.393358032928063e-08,3.905207268672939e-09
1858,3.3766365703513657e-08,4.893676019968041e-10
1859,2.7497736532211547e-08,5.092173349652285e-10
1860,5.8587955015232396e-08,0.0
1861,5.046081197335184e-08,0.0
1862,6.957699216769697e-08,0.0
1863,5.344244291549671e-08,9.989241656072068e-10
1864,8.582563282288902e-08,1.9178911792039344e-09
1865,7.954566783041628e-08,0.0
1866,4.3303953534135076e-08,4.865612912574591e-10
1867,4.949867715708933e-08,4.85281148598915e-10
1868,4.347089188616593e-08,0.0
1869,4.053320767916091e-08,0.0
1870,4.300536593504489e-08,1.1468097582678638e-09
1871,2.230447138096281e-08,0.0
1872,4.233137573805834e-08,0.0
1873,4.3697831131339626e-08,5.986004469882289e-10
1874,3.2262889249068394e-08,0.0
1875,3.4901315615343265e-08,0.0
1876,6.227394910851558e-08,1.209202959984168e-09
1877,6.061119695033312e-08,0.0
1878,2.4760263173106978e-08,6.039088673581716e-10
1879,2.565916623620268e-08,6.109325489944695e-09
1880,6.482024983434087e-08,1.2835692508872398e-09
1881,2.161477319351235e-08,6.972507571312292e-10
1882,2.1297232422057277e-08,6.655385131892899e-10
1883,2.1485751844352308e-08,0.0
1884,1.9805090012425808e-08,2.6406787867472303e-09
1885,2.127059772760731e-08,2.5782542767416317e-09
1886,2.774989432685615e-08,6.453463874400711e-10
1887,3.3297517243457975e-08,0.0
1888,7.22830080235326e-08,0.0
1889,2.380751951136517e-08,0.0
1890,2.0318598359381213e-08,6.554386478008212e-10
1891,3.6970476458009216e-08,6.374220040683554e-10
1892,3.008885940403161e-08,0.0
1893,3.4487133149241345e-08,1.2316833108982905e-09
1894,4.348062176973144e-08,6.301539290376468e-10
1895,2.9491210362664333e-08,3.611168697403855e-09
1896,1.592197840238896e-08,0.0
1897,3.379494017963225e-08,1.1653427112179315e-09
