year,vos_DET îles_NOUN,vos_DET iles_NOUN,vos_DET cils_NOUN
1800,0.0,0.0,0.0
1801,1.904946067554647e-08,0.0,0.0
1802,2.4616241489638924e-08,4.475680270843441e-09,0.0
1803,3.705644502360883e-08,0.0,0.0
1804,1.9774808235339947e-08,0.0,0.0
1805,1.1371510844071508e-08,0.0,0.0
1806,5.76333825108577e-09,2.881669125542885e-09,0.0
1807,8.540865792383556e-09,0.0,0.0
1808,2.2660739951163578e-09,0.0,0.0
1809,6.09938268780752e-08,0.0,0.0
1810,2.106114038724627e-08,2.3401267590372754e-09,0.0
1811,7.521229861140455e-09,0.0,0.0
1812,2.6672082320544632e-09,0.0,0.0
1813,6.326631307729258e-08,2.8757416448144113e-09,0.0
1814,3.1466772298927026e-08,0.0,0.0
1815,1.6183340889597275e-08,0.0,0.0
1816,1.3905623319487859e-08,0.0,0.0
1817,2.3353100786493997e-08,0.0,0.0
1818,3.099506074022429e-08,0.0,0.0
1819,4.34744116262209e-08,3.1053151161586356e-09,0.0
1820,2.3732962262101864e-08,0.0,0.0
1821,5.818277948321793e-08,9.86148829262845e-10,0.0
1822,1.804610860745015e-08,3.0076847679083585e-09,0.0
1823,2.8659792761231984e-08,9.882686891060644e-10,0.0
1824,1.2631669044083083e-08,8.421112696055388e-10,0.0
1825,2.6416328680056722e-08,1.7610886082763955e-09,0.0
1826,7.0463874735082754e-09,8.807984341885344e-10,0.0
1827,6.820781806027298e-08,0.0,9.217273055917019e-10
1828,4.586150481600271e-08,1.8344602503717056e-09,0.0
1829,3.1720752247110795e-08,1.714635211591542e-09,8.57317605795771e-10
1830,2.922314124020886e-08,2.0873671680021744e-09,1.0436835840010872e-09
1831,3.5859775371349656e-08,1.5591206103948707e-09,0.0
1832,5.8178868167502173e-08,1.3529969367098715e-09,4.058990921151917e-09
1833,3.243415847009601e-08,0.0,4.6334514003376626e-09
1834,2.9870498963191494e-08,1.8669061851994684e-09,9.334530925997342e-10
1835,3.857174846189082e-08,7.563087933704082e-10,7.563087933704082e-10
1836,7.19120265557649e-08,3.36037508930076e-09,0.0
1837,3.7572612465730515e-08,2.0873671680021744e-09,1.3915781860163179e-09
1838,1.4517972601879592e-08,1.2624323808552163e-09,6.312161904276081e-10
1839,2.6567605004856887e-08,4.1948851059459e-09,0.0
1840,3.758116173813164e-08,4.4587821212971335e-09,1.2739377330817092e-09
1841,1.8619590758106597e-08,1.926164561183441e-09,2.5682194149112547e-09
1842,3.287049921141261e-08,4.024959032733477e-09,3.3541325272778977e-09
1843,4.430183153658618e-08,4.1348376944583265e-09,5.31621990873532e-09
1844,2.6893950177964143e-08,1.6465683816413446e-09,6.037417454862748e-09
1845,3.682950477923441e-08,5.5802281129224696e-09,6.138250630005615e-09
1846,1.5807152919933287e-08,5.854501328173001e-10,4.0981509297211005e-09
1847,3.289866601363656e-08,4.314578916364553e-09,8.089835468183537e-09
1848,2.091757700384278e-08,0.0,8.045221711050488e-10
1849,1.0055298149680425e-08,8.379414939696517e-10,5.02764896381791e-09
1850,1.0183494048021657e-08,7.467895635215882e-09,8.82569484161877e-09
1851,8.384270167027807e-09,0.0,1.2898877521649865e-09
1852,2.4740073101270355e-08,1.3021090872200602e-09,1.3021090872200602e-09
1853,3.0456853039595444e-08,1.7915795513800958e-09,1.7915795513800958e-09
1854,8.313063126763609e-09,4.67609800880453e-09,0.0
1855,1.539011762474729e-08,4.2455496895854594e-09,7.429711956774554e-09
1856,3.209857268871019e-08,3.106313539724681e-09,5.177189343896771e-09
1857,2.5871997877402464e-08,0.0,7.810414537345878e-09
1858,2.3000277904472455e-08,1.4681028059904122e-09,5.872411001917044e-09
1859,3.666364989385329e-08,2.036869339860914e-09,6.110608019582742e-09
1860,2.1512764902809067e-08,9.154367819341758e-10,4.119465657481669e-09
1861,1.7920662287451705e-08,3.301174722469824e-09,3.3011746669586728e-09
1862,3.8402884428023754e-08,4.0661876643532935e-09,4.517986262886353e-10
1863,1.698171053776676e-08,3.496234690647526e-09,5.494082966350788e-09
1864,2.8768367243969806e-08,2.397363974004918e-09,1.2945765348604255e-08
1865,5.224597210418125e-08,5.648213119435752e-09,6.118897832863013e-09
1866,2.4814625021463144e-08,9.731225825149181e-10,3.4059290943133647e-09
1867,2.717574432153924e-08,4.85281148598915e-10,5.82337378318698e-09
1868,9.87974857480367e-09,4.93987406535723e-10,3.457911734727759e-09
1869,2.0022428159904848e-08,9.767038289254515e-10,7.813630631403612e-09
1870,1.0321287824410774e-08,1.1468097582678638e-09,5.160643912205387e-09
1871,1.4869648623516696e-08,0.0,1.0621177271019633e-09
