year,certaines_DET heures_NOUN,certaines_DET peurs_NOUN
1800,3.427139176892524e-07,0.0
1801,3.2145965178642655e-07,0.0
1802,3.849085032925359e-07,0.0
1803,3.8031615190448065e-07,0.0
1804,4.276302263406251e-07,0.0
1805,4.4348891492518305e-07,0.0
1806,3.803803281243745e-07,0.0
1807,3.2739984590079985e-07,0.0
1808,2.7646103717415826e-07,0.0
1809,3.9081228919712885e-07,0.0
1810,6.856571417301893e-07,0.0
1811,5.315002908901079e-07,0.0
1812,4.107500615191384e-07,0.0
1813,2.8469841595324397e-07,0.0
1814,3.8704129678990284e-07,0.0
1815,2.5623623400861106e-07,0.0
1816,3.267821568897489e-07,0.0
1817,3.253865372698783e-07,0.0
1818,3.6717227658300544e-07,0.0
1819,3.757431272788381e-07,0.0
1820,3.6192767538523185e-07,0.0
1821,4.0037642179413524e-07,0.0
1822,3.769631575778476e-07,0.0
1823,3.1921078402774583e-07,0.0
1824,3.326339594877936e-07,0.0
1825,4.499581507388939e-07,0.0
1826,2.853786895684607e-07,0.0
1827,4.138555596000515e-07,0.0
1828,4.1825694552244386e-07,0.0
1829,3.2406606464974175e-07,0.0
1830,4.644391822239413e-07,0.0
1831,3.196197155830305e-07,0.0
1832,5.357867962629825e-07,0.0
1833,4.7377039891216555e-07,0.0
1834,4.471240231396223e-07,0.0
1835,5.891645287192659e-07,0.0
1836,4.509623181547795e-07,0.0
1837,6.004659667269152e-07,0.0
1838,5.491580736816104e-07,0.0
1839,4.949964704792365e-07,0.0
1840,5.261362616693077e-07,0.0
1841,5.284111352921173e-07,0.0
1842,4.816534442397824e-07,0.0
1843,6.745692644472001e-07,0.0
1844,5.345858653527102e-07,1.097712254427563e-09
1845,5.40166070095438e-07,5.580227946389016e-10
1846,5.274905561236665e-07,5.854501328173001e-10
1847,4.945586056237516e-07,0.0
1848,7.079794954734098e-07,8.045221711050488e-10
1849,5.966143703517446e-07,0.0
1850,5.621288892143639e-07,0.0
1851,6.107618446549168e-07,0.0
1852,7.897291425251751e-07,5.208436348880241e-09
1853,7.369363856923883e-07,2.388772735173461e-09
1854,6.239993126655463e-07,0.0
1855,6.166661137285701e-07,0.0
1856,7.273951041497639e-07,5.177189232874468e-10
1857,7.585865091641608e-07,9.763018171682347e-10
1858,6.024115464242641e-07,0.0
1859,7.821578265065909e-07,0.0
1860,7.950568488013232e-07,1.8308735638683515e-09
1861,7.135253099477268e-07,1.4147891747029462e-09
1862,9.334159472018655e-07,0.0
1863,8.021361281862482e-07,0.0
1864,7.494159603993467e-07,0.0
1865,7.573312359454576e-07,1.882737743486018e-09
1866,7.454119099747913e-07,6.811858188626729e-09
1867,8.162429026015161e-07,0.0
1868,7.5135483257327e-07,0.0
1869,7.505968824261799e-07,4.883519144627257e-10
1870,7.729497610853286e-07,1.1468097582678638e-09
1871,8.953652468335349e-07,0.0
1872,7.795020451339951e-07,6.047339295989218e-10
1873,7.30292526895937e-07,6.584604861359367e-09
1874,7.181480441431631e-07,1.1949218281515073e-09
1875,7.21484582300036e-07,0.0
1876,6.84408860252006e-07,6.04601479992084e-10
1877,7.341376431213575e-07,1.2369631985365004e-09
1878,7.367688112935866e-07,0.0
1879,8.070418857641926e-07,1.832797580370027e-09
1880,7.386940978904022e-07,5.134277003548959e-09
1881,8.367009058929398e-07,2.7890030285249168e-09
1882,1.0102875194206717e-06,3.3276925659464496e-09
1883,8.101392268144991e-07,4.423537092179686e-09
1884,1.0688147540349746e-06,1.3203393933736152e-09
1885,8.824075052871194e-07,0.0
1886,8.976768413049285e-07,0.0
1887,8.8205769088745e-07,0.0
1888,9.269978704651294e-07,0.0
1889,9.742287829794805e-07,0.0
1890,9.484197107667569e-07,6.554386478008212e-10
1891,9.41472308113589e-07,0.0
1892,9.628435009290115e-07,0.0
1893,1.0426199423818616e-06,0.0
1894,1.071261635843257e-06,6.301539290376468e-10
1895,1.0743226539489115e-06,2.4074457982692365e-09
1896,1.0378771548857912e-06,5.897029087265082e-09
1897,1.0429816938994918e-06,5.826713334045053e-09
1898,1.0394397804702749e-06,5.6583548957434e-10
1899,1.1326008007017663e-06,7.185851913504848e-09
1900,1.2027670663883328e-06,0.0
1901,1.1250131137785502e-06,1.1177477832191585e-09
1902,9.511219900559809e-07,4.910283846193408e-10
1903,1.1626674449871643e-06,2.1600881083827517e-09
1904,1.1555443961697165e-06,1.6123875568041512e-09
1905,1.1895549505425151e-06,2.5803795766776716e-09
1906,1.2140275202909834e-06,0.0
1907,1.2018824691040209e-06,5.142843373384665e-10
1908,1.196905486722244e-06,0.0
1909,1.3598431678474299e-06,3.300590023513905e-09
1910,1.3167987162887584e-06,5.34415089958884e-09
1911,1.3332858088688226e-06,1.0640748282497725e-09
1912,1.3846641877535149e-06,5.209421227725386e-10
1913,1.411125595041085e-06,7.954484682048957e-09
1914,1.2154589512647362e-06,6.696743715117748e-10
1915,1.4019107084095594e-06,0.0
1916,1.5492321381316287e-06,1.0987462051303964e-09
1917,1.7425647911295528e-06,2.1932848870420685e-09
1918,1.6988350353130954e-06,1.1486376294556067e-09
1919,1.638076241761155e-06,0.0
1920,1.2986376987100812e-06,7.572231730534895e-10
1921,1.2737360748360516e-06,5.300923255902035e-09
1922,1.3184370573071647e-06,6.640141769764796e-09
1923,1.1953557077504229e-06,8.492758496458919e-09
1924,1.2311501222939114e-06,1.289162443462999e-09
1925,1.1867033435919438e-06,4.399271169575059e-09
1926,1.1993245152552845e-06,4.458455382660986e-09
1927,1.1528298955454375e-06,2.2298449753321847e-09
1928,1.1266076853644336e-06,0.0
1929,1.0616806775942678e-06,0.0
1930,1.1123315744043794e-06,8.402882833991043e-09
1931,1.1188654980287538e-06,1.1405356659111021e-09
1932,9.458079830437782e-07,4.383814644626227e-09
1933,9.371531177748693e-07,4.588264879146209e-09
1934,1.0400011660749442e-06,7.188948103475923e-09
1935,9.275420325138839e-07,1.196828414151696e-09
1936,9.845268778008176e-07,3.6374143697059935e-09
1937,1.1470508525235346e-06,7.554670999887492e-09
1938,1.0138797961189994e-06,2.5930428915188486e-09
1939,9.72701627688366e-07,0.0
1940,9.94026891021349e-07,2.5357829169792012e-09
1941,9.326748227067583e-07,0.0
1942,1.1863768349940074e-06,9.102635090130207e-09
1943,1.1874232086483971e-06,0.0
1944,9.446767421650293e-07,0.0
1945,1.2853173529947526e-06,2.178504043826024e-09
1946,1.167980599348084e-06,1.3921104269343232e-09
1947,1.0788388635774027e-06,0.0
1948,1.0676193369363318e-06,5.435944139264848e-09
1949,8.285555281872803e-07,0.0
1950,9.454836344957585e-07,2.1270722960764488e-09
1951,7.569595368295268e-07,0.0
1952,7.233735459521995e-07,4.217921456550755e-09
1953,7.961858159433177e-07,0.0
1954,7.75939383856894e-07,4.886268278880834e-09
1955,7.086134132805455e-07,1.8771215692936494e-09
1956,7.107730652933242e-07,4.360570571293465e-09
1957,6.493752948699694e-07,5.301022731885041e-09
1958,7.014862717369397e-07,1.6544486891589827e-09
1959,5.689049089596665e-07,3.8753737996444215e-09
1960,6.491741828540398e-07,1.3841666701708277e-09
1961,7.170500566644478e-07,5.55852741612739e-09
1962,6.532214911203482e-07,5.0735651235811474e-09
1963,6.006963531035581e-07,7.759263453976928e-09
1964,5.944037297922478e-07,2.4335873316516654e-09
1965,6.59381214518362e-07,5.47204326295514e-09
1966,6.652428510278696e-07,4.985167167959048e-09
1967,6.488321560027543e-07,8.874603663056035e-09
1968,7.374904953394434e-07,4.940557296606585e-09
1969,6.340293907669547e-07,1.8167031212712459e-09
1970,6.249667308111384e-07,2.7592350626548523e-09
1971,6.546318331857037e-07,1.1304474023532407e-08
1972,4.904420620732708e-07,7.182205663536223e-09
1973,5.209977302911284e-07,2.205281512956958e-09
1974,4.326064697579568e-07,5.06301445213353e-09
1975,4.460665934402641e-07,1.1994107929069742e-08
1976,4.787935381500574e-07,1.1998406490576485e-08
1977,4.172514991296339e-07,3.526069214387917e-09
1978,4.502968238284666e-07,1.7821774056514528e-09
1979,4.786914473697834e-07,1.2289144146748754e-08
1980,4.144474985423585e-07,1.0233271341419936e-08
1981,4.257094872173184e-07,8.223214609248686e-09
1982,4.202479146897531e-07,9.932003441903703e-09
1983,3.561838184396038e-07,6.94684787472255e-09
1984,4.546422758266999e-07,7.538711266352749e-09
1985,4.3853418674189015e-07,1.8046674932215012e-08
1986,4.1242060433432925e-07,7.193382556280881e-09
1987,3.5687170907294785e-07,7.332980445085013e-09
1988,4.0476737694916665e-07,8.994830602571113e-09
1989,3.9240072169377527e-07,7.134558721588746e-09
1990,4.1464232936050394e-07,8.172976073694826e-09
1991,3.663415668597736e-07,4.103025752488776e-09
1992,3.515344246807217e-07,1.3774860863069449e-08
1993,3.927298166672699e-07,1.8833305248655563e-08
1994,3.5711252621695166e-07,1.9517228277976528e-08
1995,3.1992459526009043e-07,1.3556127220759606e-08
1996,3.533816936851508e-07,8.007138063703678e-09
1997,3.433144399878074e-07,1.678213101818926e-08
1998,3.6905319689140015e-07,2.431745871334101e-08
1999,3.569327020613855e-07,1.3253583786010381e-08
2000,3.6802202885155566e-07,1.7230322946204524e-08
2001,2.957318088192551e-07,1.7086726700199506e-08
2002,3.7459443547049887e-07,1.1391175780417484e-08
2003,3.3918752251338447e-07,2.083461492219385e-08
2004,3.73085811133933e-07,2.4226351813538827e-08
2005,3.3192634418810485e-07,2.071724858332402e-08
2006,3.776105188535439e-07,2.594270576139479e-08
2007,3.5630756656246376e-07,2.756190875530251e-08
2008,3.618823711803998e-07,1.575252683849726e-08
2009,4.081572910763498e-07,2.4794600594901794e-08
2010,3.604254175115784e-07,2.0312309612080526e-08
2011,4.4052157477381115e-07,4.397567887615139e-08
2012,4.844251861868543e-07,3.540422666148402e-08
2013,4.398450244025298e-07,2.7612338193705455e-08
2014,5.768745836576272e-07,3.3780944264094614e-08
2015,5.397361064751749e-07,3.3248630737503504e-08
2016,6.170521942294727e-07,2.527034803634365e-08
2017,3.8237291732912126e-07,3.37091909941023e-08
2018,4.615662589912972e-07,3.4591653985671655e-08
2019,5.232075750427612e-07,4.464228720024721e-08
