year,premières_ADJ heures_NOUN,premières_ADJ peurs_NOUN
1800,3.3328143445032765e-07,0.0
1801,2.09544069207368e-07,0.0
1802,2.7077865638602816e-07,0.0
1803,1.677291692203653e-07,0.0
1804,3.757213562494144e-07,0.0
1805,4.776034643327876e-07,0.0
1806,2.939302419235901e-07,0.0
1807,2.619198653519561e-07,0.0
1808,1.6089124699192325e-07,0.0
1809,2.6882463544097845e-07,0.0
1810,2.2465216886757844e-07,0.0
1811,2.85806748934192e-07,0.0
1812,4.774302624355187e-07,0.0
1813,3.7672214148187777e-07,0.0
1814,5.412284735939465e-07,0.0
1815,3.8300575511129864e-07,0.0
1816,3.221469455638726e-07,0.0
1817,2.2107602148935257e-07,0.0
1818,3.945909838876105e-07,0.0
1819,2.5153050842163793e-07,0.0
1820,5.589112674897478e-07,0.0
1821,2.4850950808286143e-07,0.0
1822,2.7871212182617455e-07,0.0
1823,3.103163805917575e-07,0.0
1824,3.789500624407083e-07,0.0
1825,2.9674342272301146e-07,0.0
1826,3.7962411170155974e-07,0.0
1827,4.424290978022327e-07,0.0
1828,3.797332794874819e-07,0.0
1829,3.515002049425675e-07,0.0
1830,4.5608973664457153e-07,0.0
1831,5.301010332914302e-07,0.0
1832,6.480855176960176e-07,0.0
1833,5.53697418581578e-07,0.0
1834,5.81541257815843e-07,0.0
1835,5.021890387979511e-07,0.0
1836,4.334883669798728e-07,0.0
1837,4.981849883733958e-07,0.0
1838,4.393264703139721e-07,6.312161904276081e-10
1839,5.292546916280116e-07,0.0
1840,4.5161092998569075e-07,0.0
1841,5.996792538098816e-07,0.0
1842,5.011074222238676e-07,0.0
1843,6.456253913711407e-07,0.0
1844,4.879331072515924e-07,0.0
1845,4.860378339799354e-07,0.0
1846,5.29832391293894e-07,0.0
1847,5.587379519056412e-07,0.0
1848,5.77646915189689e-07,0.0
1849,6.804085046496766e-07,0.0
1850,7.332115501412773e-07,0.0
1851,7.120180498532136e-07,0.0
1852,6.035275532667583e-07,2.6042181744401205e-09
1853,6.330247970254277e-07,0.0
1854,5.777578735433053e-07,1.0391328908454511e-09
1855,7.318266170841525e-07,0.0
1856,5.586186944128713e-07,0.0
1857,6.209279490576591e-07,0.0
1858,8.833085303194821e-07,1.468102750479261e-09
1859,5.723603067053773e-07,1.5276520048956854e-09
1860,7.60727971282904e-07,3.661747127736703e-09
1861,7.229572247524629e-07,0.0
1862,7.423051329169539e-07,0.0
1863,6.557937126672186e-07,0.0
1864,6.247530563996406e-07,9.589455896019672e-10
1865,7.521537099819398e-07,0.0
1866,7.244897801683692e-07,0.0
1867,7.439360274474893e-07,0.0
1868,8.190311291400576e-07,0.0
1869,7.891766813372669e-07,0.0
1870,8.234093797909736e-07,0.0
1871,1.0716768201746163e-06,0.0
1872,8.653742611386406e-07,0.0
1873,9.601551482774084e-07,5.986004469882289e-10
1874,1.132785882873577e-06,0.0
1875,9.194494055009272e-07,0.0
1876,6.686892106699815e-07,0.0
1877,9.196821224577434e-07,0.0
1878,9.783323093870422e-07,0.0
1879,7.764952556499338e-07,6.10932526790009e-10
1880,8.728271154723188e-07,0.0
1881,7.676731001993176e-07,0.0
1882,9.703551313577918e-07,0.0
1883,9.087209491553949e-07,0.0
1884,9.89594354905421e-07,0.0
1885,9.023889901982329e-07,0.0
1886,8.008748864085646e-07,6.453463874400711e-10
1887,8.605122729932191e-07,6.528924623161458e-10
1888,9.225594226336398e-07,0.0
1889,9.905181741487468e-07,1.2530273485467092e-09
1890,8.704225251676689e-07,6.554386478008212e-10
1891,8.509583722116076e-07,0.0
1892,1.0111110668731271e-06,0.0
1893,1.0580159823803115e-06,1.2316833108982905e-09
1894,1.1386881624275702e-06,0.0
1895,1.2512699640865321e-06,0.0
1896,1.0555681910773274e-06,3.5382172747233653e-09
1897,1.2888690434920136e-06,0.0
1898,1.1741086609617923e-06,0.0
1899,1.16300248009793e-06,0.0
1900,1.000835027298308e-06,0.0
1901,9.718817182147177e-07,0.0
1902,1.1406589237594744e-06,0.0
1903,1.3343944829102838e-06,0.0
1904,1.328069856754155e-06,0.0
1905,1.2174230050732149e-06,0.0
1906,1.244892700924538e-06,0.0
1907,1.1982824617007282e-06,0.0
1908,1.1379688658053055e-06,0.0
1909,1.3823971585225081e-06,0.0
1910,1.337106482424133e-06,0.0
1911,1.2497558827817556e-06,0.0
1912,1.1867061857628869e-06,0.0
1913,1.2833235132347909e-06,0.0
1914,1.3480545248967246e-06,0.0
1915,1.8908123138317023e-06,8.246533234057551e-09
1916,2.3172558485384798e-06,4.394984820521586e-09
1917,2.504731355656986e-06,0.0
1918,2.37423387261515e-06,0.0
1919,1.907866135297809e-06,0.0
1920,1.5030880149424775e-06,0.0
1921,1.5342386632255511e-06,0.0
1922,1.5006720559540554e-06,7.377935484775833e-10
1923,1.323808760389511e-06,0.0
1924,1.3381505823417683e-06,0.0
1925,1.194402102555614e-06,0.0
1926,1.2193875136290444e-06,1.1146138456652466e-09
1927,1.3066891142443637e-06,3.3447675740205796e-09
1928,1.310566972279048e-06,0.0
1929,1.1730847973012715e-06,0.0
1930,1.3476122830979875e-06,1.0503603542488804e-09
1931,1.37434551561455e-06,0.0
1932,1.4850172647129511e-06,0.0
1933,1.4648035175923724e-06,0.0
1934,1.4905085663485806e-06,2.3963160344919743e-09
1935,1.614521579540451e-06,0.0
1936,1.488914904257399e-06,0.0
1937,1.7816431636674679e-06,0.0
1938,1.844950020313263e-06,0.0
