year,plusieurs_DET heures_NOUN,plusieurs_DET peurs_NOUN
1800,3.172462067269066e-06,0.0
1801,2.89313680923442e-06,0.0
1802,2.6428892567764706e-06,0.0
1803,2.5100865990168586e-06,0.0
1804,2.382864295213949e-06,0.0
1805,2.524475293697037e-06,0.0
1806,2.88455079910932e-06,0.0
1807,2.9067410878269584e-06,0.0
1808,2.198091870297958e-06,2.2660739951163578e-09
1809,2.8554146878079223e-06,0.0
1810,2.5671190257980925e-06,0.0
1811,2.9658718183611654e-06,0.0
1812,2.917925715273384e-06,0.0
1813,3.307102962368802e-06,0.0
1814,3.7728659165736644e-06,0.0
1815,3.730260128342877e-06,0.0
1816,3.2446454767409705e-06,0.0
1817,3.1806923388444375e-06,0.0
1818,2.907575098021198e-06,0.0
1819,2.4563041822744935e-06,0.0
1820,2.7957430006608774e-06,0.0
1821,2.678380177201234e-06,0.0
1822,2.3600298817427756e-06,0.0
1823,3.0695624708698688e-06,0.0
1824,3.2589707004149204e-06,0.0
1825,2.8098167916823513e-06,0.0
1826,3.181443878119694e-06,0.0
1827,3.1652114547142673e-06,0.0
1828,3.1827884221513614e-06,0.0
1829,2.8763005897047833e-06,0.0
1830,3.623669289964937e-06,0.0
1831,3.400442064815934e-06,0.0
1832,3.6368557783106326e-06,0.0
1833,3.7797378737991494e-06,0.0
1834,3.571391445689187e-06,0.0
1835,3.236245348148259e-06,0.0
1836,3.0935613217764057e-06,0.0
1837,3.5415664640936484e-06,0.0
1838,3.0544551989919455e-06,0.0
1839,3.548872882674914e-06,0.0
1840,3.276567912990913e-06,0.0
1841,3.141574396181568e-06,0.0
1842,3.3916989075066795e-06,0.0
1843,3.2417127364681164e-06,0.0
1844,3.2409954862089307e-06,0.0
1845,3.4647634556961293e-06,0.0
1846,3.128645428063237e-06,0.0
1847,3.1410134617715357e-06,0.0
1848,3.2768187558929185e-06,0.0
1849,3.0802729042989085e-06,0.0
1850,3.620571575879694e-06,0.0
1851,3.226654175847443e-06,0.0
1852,3.120504391773693e-06,0.0
1853,3.5162734555171937e-06,0.0
1854,2.861252340835563e-06,0.0
1855,3.0907601100693682e-06,0.0
1856,2.9696356520503286e-06,0.0
1857,3.219843478063922e-06,0.0
1858,3.0766540106696993e-06,0.0
1859,3.3144956006481152e-06,1.018434669930457e-09
1860,3.4717940877726505e-06,0.0
