year,mêmes_ADJ airs_NOUN,mêmes_ADJ paires_NOUN
1800,6.917161954334006e-08,1.2576657937302116e-08
1801,1.4287095950749062e-08,0.0
1802,4.4756802708434407e-08,0.0
1803,1.3652374342143503e-08,1.950339223455444e-09
1804,4.2021465418429216e-08,7.4155526164076946e-09
1805,1.7057265822018053e-08,7.391481915419718e-08
1806,2.5935023018064385e-08,8.645007376628655e-09
1807,3.131650672116848e-08,0.0
1808,5.211970233176544e-08,0.0
1809,2.0331274441787173e-08,0.0
1810,6.084329839950442e-08,0.0
1811,7.270522672797597e-08,0.0
1812,5.067695596494559e-08,1.0668832928217853e-08
1813,6.614205716459765e-08,2.8757416448144113e-09
1814,4.72001566720337e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,6.85024303948012e-08,0.0
1818,2.8610825708597076e-08,1.4305412854298538e-08
1819,5.072014630513877e-08,0.0
1820,6.051905643289501e-08,0.0
1821,7.59334568556369e-08,0.0
1822,3.909990198280866e-08,0.0
1823,4.15072847204101e-08,1.1859224713361982e-08
1824,4.8000341479337294e-08,0.0
1825,8.277116592125822e-08,7.044354433105582e-09
1826,4.315912249808207e-08,0.0
1827,3.871254605769536e-08,0.0
1828,7.06267186956211e-08,1.0089530988466322e-08
1829,2.4004892296147773e-08,0.0
1830,4.905312778191728e-08,0.0
1831,4.053713453799901e-08,1.5591206103948707e-09
1832,1.1500473817704915e-07,1.3529969367098715e-09
1833,4.9809603552830595e-08,0.0
1834,1.4001796166951408e-08,0.0
1835,4.689114518896531e-08,1.5126175867408165e-09
1836,4.301280043250699e-08,6.720750067579218e-10
1837,2.5048407792382932e-08,1.0436836284100082e-08
1838,2.3354999711955315e-08,6.312161904276081e-09
1839,3.5656523067473245e-08,1.5381244722334486e-08
1840,2.229391071750797e-08,2.5478754661634184e-09
1841,4.494383887276854e-08,2.5682194149112547e-09
1842,3.4882980060046975e-08,3.3541325272778977e-09
1843,4.4892523476391943e-08,4.7255288571079745e-09
1844,3.0735943568060975e-08,1.6465684371524958e-09
1845,3.013322924516615e-08,1.8414752389617206e-08
1846,4.039605983052752e-08,5.269050973311096e-09
1847,2.480882876909618e-08,0.0
1848,3.378993085334514e-08,2.413566457803995e-09
1849,4.1059134758825167e-08,0.0
1850,2.2403686017469226e-08,6.788996032014438e-10
1851,9.029214709244116e-09,5.159551008659946e-09
1852,2.278690836021724e-08,3.2552727180501506e-09
1853,2.9262466227919504e-08,3.5831591027601917e-09
1854,2.3900057044556888e-08,0.0
1855,1.963566731433275e-08,0.0
1856,2.8992259260007813e-08,4.659470143053568e-09
1857,5.4672902649599564e-08,0.0
1858,1.8106600663259087e-08,0.0
